6	5	10000	1	40	 39
6	5	10000	2	39	 40
6	5	10000	3	38	 41
6	5	10000	4	38	 41
6	5	10000	5	38	 41
6	5	10000	6	38	 41
6	5	10000	7	37	 42
6	5	10000	8	37	 42
6	5	10000	9	41	 38
6	5	10000	10	42	 37
6	5	10000	11	42	 37
6	5	10000	12	44	 35
6	5	10000	13	47	 32
6	5	10000	14	43	 36
6	5	10000	15	43	 36
6	5	10000	16	41	 38
6	5	10000	17	40	 39
6	5	10000	18	37	 42
6	5	10000	19	37	 42
6	5	10000	20	37	 42
6	5	10000	21	39	 40
6	5	10000	22	40	 39
6	5	10000	23	40	 39
6	5	10000	24	40	 39
12	5	10000	1	39	 40
12	5	10000	2	39	 40
12	5	10000	3	39	 40
12	5	10000	4	40	 39
12	5	10000	5	40	 39
12	5	10000	6	41	 38
12	5	10000	7	41	 38
12	5	10000	8	41	 38
12	5	10000	9	43	 36
12	5	10000	10	41	 38
12	5	10000	11	40	 39
12	5	10000	12	40	 39
18	5	10000	1	40	 39
18	5	10000	2	40	 39
18	5	10000	3	40	 39
18	5	10000	4	40	 39
18	5	10000	5	40	 39
18	5	10000	6	39	 40
18	5	10000	7	40	 39
18	5	10000	8	39	 40
24	5	10000	1	38	 41
24	5	10000	2	38	 41
24	5	10000	3	38	 41
24	5	10000	4	38	 41
24	5	10000	5	38	 41
24	5	10000	6	39	 40
30	5	10000	1	38	 41
30	5	10000	2	38	 41
30	5	10000	3	38	 41
30	5	10000	4	38	 41
36	5	10000	1	38	 41
36	5	10000	2	38	 41
36	5	10000	3	38	 41
36	5	10000	4	38	 41
6	5	10000	1	40	 39
6	5	10000	2	39	 40
6	5	10000	3	38	 41
6	5	10000	4	38	 41
6	5	10000	5	38	 41
6	5	10000	6	38	 41
6	5	10000	7	37	 42
6	5	10000	8	37	 42
6	5	10000	9	41	 38
6	5	10000	10	42	 37
6	5	10000	11	42	 37
6	5	10000	12	44	 35
6	5	10000	13	47	 32
6	5	10000	14	43	 36
