3	5	10	0.5	0.5
1	100	31
2	10	35
3	0	36
4	20	36
5	10	36
6	0	36
7	20	36
8	0	36
9	10	36
10	0	37
11	0	38
12	20	38
13	0	37
14	0	38
15	0	35
16	20	38
17	0	38
18	0	35
19	10	35
20	0	37
21	20	38
22	0	41
23	0	37
24	10	38
25	0	40
26	0	38
27	20	38
28	10	37
29	20	40
30	0	41
31	20	42
32	10	40
33	0	40
34	20	39
35	10	39
36	0	41
37	20	41
38	10	40
39	0	41
40	20	41
41	0	39
42	0	38
43	10	38
44	20	39
45	0	37
46	20	39
47	10	41
48	0	38
49	0	38
50	20	40
51	0	38
52	10	35
53	0	35
54	0	35
55	20	35
56	0	35
57	0	37
58	10	41
59	0	38
60	20	37
61	20	38
62	10	40
63	0	38
64	0	39
65	0	40
66	20	37
67	10	37
68	20	38
69	10	38
70	0	40
71	20	39
72	0	39
73	10	40
74	0	39
75	20	40
76	0	38
77	0	39
78	20	40
79	0	39
80	0	39
81	10	37
82	20	38
83	10	40
84	20	42
85	0	42
86	10	42
87	20	43
88	20	40
89	0	43
90	10	41
91	0	41
92	0	41
93	20	40
94	0	37
95	10	40
96	20	43
