3	30	40	0.5	0.5
1	110	5
2	0	6
3	0	5
4	0	5
5	0	5
6	10	5
7	0	5
8	0	5
9	0	5
10	0	6
11	0	5
12	0	5
13	20	6
14	20	5
15	10	7
16	20	6
17	10	6
18	20	7
19	10	6
20	20	8
21	30	7
22	20	7
23	10	7
24	20	8
25	10	9
26	20	7
27	10	8
28	40	6
29	10	8
30	20	9
31	10	9
32	20	10
33	10	10
34	0	7
35	0	7
36	20	6
37	10	9
38	20	7
39	20	10
40	30	6
41	10	7
42	0	7
43	20	6
44	10	7
45	20	6
46	0	6
47	0	8
48	0	7
49	0	10
50	20	8
51	0	7
52	0	7
53	0	7
54	10	7
55	0	7
56	0	7
57	0	6
58	20	6
59	0	7
60	0	6
61	10	8
62	0	8
63	30	9
64	0	8
65	0	11
66	20	8
67	10	8
68	0	7
69	0	8
70	20	7
71	0	8
72	0	8
73	0	7
74	0	6
75	30	7
76	20	8
77	10	7
78	20	7
79	0	8
80	10	10
81	20	7
82	20	8
83	10	7
84	20	7
85	10	7
86	0	7
87	0	8
88	0	8
89	0	7
90	20	6
91	10	8
92	0	7
93	0	7
94	0	9
95	20	7
96	0	6
